,Unnamed: 0,game_date,home_team,away_team,is_day_game,home_score,away_score,venue,venue_name,city,state,home_pa,home_1b,home_2b,home_3b,home_hr,home_fo,home_so,home_bb,home_hbp,away_pa,away_1b,away_2b,away_3b,away_hr,away_fo,away_so,away_bb,away_hbp
0,0,20000329,NYN,CHN,False,3,5,TOK01,Tokyo Dome,Tokyo,JAP,45,9,1,0,2,17,5,10,1,38,5,1,0,1,24,4,3,0
1,1,20000330,CHN,NYN,False,1,5,TOK01,Tokyo Dome,Tokyo,JAP,48,3,2,0,1,28,5,8,1,44,5,0,0,0,24,9,6,0
2,2,20000403,ATL,COL,True,2,0,ATL02,Turner Field,Atlanta,GA,34,4,2,0,0,19,7,2,0,32,5,0,0,2,17,6,1,1
3,3,20000403,CIN,MIL,True,3,3,CIN08,Cinergy Field,Cincinnati,OH,27,6,1,0,0,14,1,5,0,20,3,1,0,1,10,4,1,0
4,4,20000403,FLO,SFN,False,6,4,MIA01,Sun Life Stadium,Miami,FL,36,5,2,2,1,17,8,1,0,38,9,3,0,0,17,7,1,1
5,5,20000403,MON,LAN,False,4,10,MON02,Stade Olympique,Montreal,QUE,43,6,0,1,2,26,4,4,0,38,7,0,0,2,19,8,2,0
6,6,20000403,NYN,SDN,True,2,1,NYC17,Shea Stadium,New York,NY,33,4,0,0,1,19,8,0,1,30,2,1,0,1,16,7,2,1
7,7,20000403,SLN,CHN,True,7,1,STL09,Busch Stadium II,St. Louis,MO,32,2,1,0,0,18,7,3,1,41,5,1,1,3,18,6,7,0
8,8,20000403,ANA,NYA,False,2,3,ANA01,Angel Stadium of Anaheim,Anaheim,CA,35,4,0,0,2,23,3,3,0,40,8,1,0,1,19,6,5,0
9,9,20000403,BAL,CLE,True,1,4,BAL12,Oriole Park at Camden Yards,Baltimore,MD,35,4,0,0,2,20,7,2,0,37,4,2,0,0,16,8,7,0
10,10,20000403,MIN,TBA,False,0,7,MIN03,Hubert H. Humphrey Metrodome,Minneapolis,MN,41,10,2,0,2,21,6,0,0,34,7,1,0,0,18,8,0,0
11,11,20000403,OAK,DET,False,4,7,OAK01,Oakland-Alameda County Coliseum,Oakland,CA,46,6,4,0,1,18,10,6,1,34,0,0,0,4,18,9,3,0
12,12,20000403,TEX,CHA,True,10,4,ARL02,Rangers Ballpark in Arlington,Arlington,TX,36,9,1,0,0,23,1,2,0,40,6,1,0,4,17,6,4,2
13,13,20000403,TOR,KCA,True,5,4,TOR02,Rogers Centre,Toronto,ONT,37,7,2,0,0,18,9,1,0,33,3,1,0,4,20,5,0,0
14,14,20000404,ARI,PHI,False,6,4,PHO01,Chase Field,Phoenix,AZ,37,3,1,0,2,18,10,3,0,33,6,1,0,3,20,3,0,0
15,15,20000404,ATL,COL,False,3,5,ATL02,Turner Field,Atlanta,GA,42,6,4,1,0,20,6,5,0,38,3,2,0,1,23,4,4,1
16,16,20000404,CIN,MIL,False,1,5,CIN08,Cinergy Field,Cincinnati,OH,42,6,1,1,2,20,6,5,1,32,2,1,0,1,22,5,1,0
17,17,20000404,FLO,SFN,False,0,3,MIA01,Sun Life Stadium,Miami,FL,36,6,0,0,1,19,5,5,0,32,3,1,0,0,19,6,3,0
18,18,20000404,MON,LAN,False,4,10,MON02,Stade Olympique,Montreal,QUE,47,12,3,0,2,15,12,2,1,37,3,3,0,0,20,5,5,1
19,19,20000404,PIT,HOU,False,2,5,PIT07,Three Rivers Stadium,Pittsburgh,PA,37,3,1,0,1,20,6,6,0,36,5,0,0,1,21,5,3,1
20,20,20000404,ANA,NYA,False,3,5,ANA01,Angel Stadium of Anaheim,Anaheim,CA,41,5,2,1,1,19,7,6,0,42,10,0,0,0,17,9,6,0
21,21,20000404,MIN,TBA,False,6,5,MIN03,Hubert H. Humphrey Metrodome,Minneapolis,MN,41,5,3,0,1,24,3,4,1,40,7,4,0,0,26,1,2,0
22,22,20000404,OAK,DET,False,3,1,OAK01,Oakland-Alameda County Coliseum,Oakland,CA,33,1,1,0,0,16,11,4,0,32,4,0,1,0,14,9,4,0
23,23,20000404,SEA,BOS,False,0,2,SEA03,Safeco Field,Seattle,WA,37,4,3,0,0,22,5,3,0,31,2,0,0,0,15,12,2,0
24,24,20000404,TEX,CHA,False,12,8,ARL02,Rangers Ballpark in Arlington,Arlington,TX,44,7,5,1,1,21,6,2,1,46,7,3,0,2,15,9,10,0
25,25,20000404,TOR,KCA,False,6,3,TOR02,Rogers Centre,Toronto,ONT,35,4,2,0,1,22,3,1,2,37,2,3,0,2,20,4,4,2
26,26,20000405,ARI,PHI,False,11,3,PHO01,Chase Field,Phoenix,AZ,38,7,1,0,1,20,6,3,0,43,7,2,1,2,17,6,8,0
27,27,20000405,ATL,COL,False,9,6,ATL02,Turner Field,Atlanta,GA,38,6,0,1,2,24,4,1,0,43,10,1,0,1,20,4,5,2
28,28,20000405,CIN,MIL,False,5,8,CIN08,Cinergy Field,Cincinnati,OH,37,5,1,1,3,18,6,3,0,43,8,4,0,1,22,5,2,1
29,29,20000405,FLO,SFN,False,9,11,MIA01,Sun Life Stadium,Miami,FL,46,8,5,0,2,23,6,2,0,46,7,2,2,1,20,6,8,0
30,30,20000405,MON,LAN,False,6,5,MON02,Stade Olympique,Montreal,QUE,41,7,2,1,2,20,6,3,0,39,8,2,0,0,19,5,4,1
31,31,20000405,NYN,SDN,False,0,4,NYC17,Shea Stadium,New York,NY,39,9,2,0,0,18,8,2,0,38,4,3,0,0,17,10,4,0
32,32,20000405,PIT,HOU,False,2,11,PIT07,Three Rivers Stadium,Pittsburgh,PA,43,6,2,1,1,14,12,7,0,38,7,2,0,0,24,2,3,0
