,game_date,home_team,away_team,city,distance_from_last_location_home_team,distance_from_last_location_away_team
0,2000-03-29,NYN,CHN,Tokyo,0.0,0.0
1,2000-03-30,CHN,NYN,Tokyo,0.0,0.0
2,2000-04-03,ATL,COL,Atlanta,0.0,0.0
3,2000-04-03,CIN,MIL,Cincinnati,0.0,0.0
4,2000-04-03,FLO,SFN,Miami,0.0,0.0
5,2000-04-03,MON,LAN,Montreal,0.0,0.0
6,2000-04-03,NYN,SDN,New York,10870.832449398718,0.0
7,2000-04-03,SLN,CHN,St. Louis,0.0,10311.699417712545
8,2000-04-03,ANA,NYA,Anaheim,0.0,0.0
9,2000-04-03,BAL,CLE,Baltimore,0.0,0.0
10,2000-04-03,MIN,TBA,Minneapolis,0.0,0.0
11,2000-04-03,OAK,DET,Oakland,0.0,0.0
12,2000-04-03,TEX,CHA,Arlington,0.0,0.0
13,2000-04-03,TOR,KCA,Toronto,0.0,0.0
14,2000-04-04,ARI,PHI,Phoenix,0.0,0.0
15,2000-04-04,ATL,COL,Atlanta,0.0,0.0
16,2000-04-04,CIN,MIL,Cincinnati,0.0,0.0
17,2000-04-04,FLO,SFN,Miami,0.0,0.0
18,2000-04-04,MON,LAN,Montreal,0.0,0.0
19,2000-04-04,PIT,HOU,Pittsburgh,0.0,0.0
20,2000-04-04,ANA,NYA,Anaheim,0.0,0.0
21,2000-04-04,MIN,TBA,Minneapolis,0.0,0.0
22,2000-04-04,OAK,DET,Oakland,0.0,0.0
23,2000-04-04,SEA,BOS,Seattle,0.0,0.0
24,2000-04-04,TEX,CHA,Arlington,0.0,0.0
25,2000-04-04,TOR,KCA,Toronto,0.0,0.0
26,2000-04-05,ARI,PHI,Phoenix,0.0,0.0
27,2000-04-05,ATL,COL,Atlanta,0.0,0.0
28,2000-04-05,CIN,MIL,Cincinnati,0.0,0.0
29,2000-04-05,FLO,SFN,Miami,0.0,0.0
30,2000-04-05,MON,LAN,Montreal,0.0,0.0
31,2000-04-05,NYN,SDN,New York,10870.832449398718,0.0
32,2000-04-05,PIT,HOU,Pittsburgh,0.0,0.0
33,2000-04-05,SLN,CHN,St. Louis,0.0,10311.699417712545
34,2000-04-05,ANA,NYA,Anaheim,0.0,0.0
35,2000-04-05,BAL,CLE,Baltimore,0.0,0.0
36,2000-04-05,MIN,TBA,Minneapolis,0.0,0.0
37,2000-04-05,OAK,DET,Oakland,0.0,0.0
