,game_date,home_team,away_team,is_day_game,venue,venue_name,city,distance_from_last_location_home_team,distance_from_last_location_away_team
0,20000329,NYN,CHN,False,TOK01,Tokyo Dome,Tokyo,0.0,0.0
1,20000330,CHN,NYN,False,TOK01,Tokyo Dome,Tokyo,0.0,0.0
2,20000403,ATL,COL,True,ATL02,Turner Field,Atlanta,0.0,0.0
3,20000403,CIN,MIL,True,CIN08,Cinergy Field,Cincinnati,0.0,0.0
4,20000403,FLO,SFN,False,MIA01,Sun Life Stadium,Miami,0.0,0.0
5,20000403,MON,LAN,False,MON02,Stade Olympique,Montreal,0.0,0.0
6,20000403,NYN,SDN,True,NYC17,Shea Stadium,New York,10870.832449398718,0.0
7,20000403,SLN,CHN,True,STL09,Busch Stadium II,St. Louis,0.0,10311.699417712545
8,20000403,ANA,NYA,False,ANA01,Angel Stadium of Anaheim,Anaheim,0.0,0.0
9,20000403,BAL,CLE,True,BAL12,Oriole Park at Camden Yards,Baltimore,0.0,0.0
10,20000403,MIN,TBA,False,MIN03,Hubert H. Humphrey Metrodome,Minneapolis,0.0,0.0
11,20000403,OAK,DET,False,OAK01,Oakland-Alameda County Coliseum,Oakland,0.0,0.0
12,20000403,TEX,CHA,True,ARL02,Rangers Ballpark in Arlington,Arlington,0.0,0.0
13,20000403,TOR,KCA,True,TOR02,Rogers Centre,Toronto,0.0,0.0
14,20000404,ARI,PHI,False,PHO01,Chase Field,Phoenix,0.0,0.0
15,20000404,ATL,COL,False,ATL02,Turner Field,Atlanta,0.0,0.0
16,20000404,CIN,MIL,False,CIN08,Cinergy Field,Cincinnati,0.0,0.0
17,20000404,FLO,SFN,False,MIA01,Sun Life Stadium,Miami,0.0,0.0
18,20000404,MON,LAN,False,MON02,Stade Olympique,Montreal,0.0,0.0
19,20000404,PIT,HOU,False,PIT07,Three Rivers Stadium,Pittsburgh,0.0,0.0
20,20000404,ANA,NYA,False,ANA01,Angel Stadium of Anaheim,Anaheim,0.0,0.0
21,20000404,MIN,TBA,False,MIN03,Hubert H. Humphrey Metrodome,Minneapolis,0.0,0.0
22,20000404,OAK,DET,False,OAK01,Oakland-Alameda County Coliseum,Oakland,0.0,0.0
